contigname	ERR011349_ERR011349
k79_141	3.17647
k79_4713	10.1604
k79_32300	3.62332
k79_9346	8.0
k79_142	6.66032
k79_4714	4.71354
k79_27667	10.7089
k79_27668	2.75229
k79_32301	10.4816
k79_27669	1.94444
k79_9347	15.4422
k79_13867	11.4349
k79_4715	5.83974
k79_32302	6.41867
k79_4716	3.67586
k79_9348	5.4709
k79_13868	2.51709
k79_27670	5.29688
k79_32303	3.24658
k79_4717	5.10606
k79_9349	1.92742
k79_32304	5.75
k79_4718	4.30345
k79_18481	4.29032
k79_27671	7.11191
k79_9350	4.17424
k79_4719	3.15464
k79_27672	3.52841
k79_13869	8.76825
k79_32305	3.56522
k79_4720	4.07853
k79_13870	6.32258
k79_9351	4.14072
k79_4721	13.0656
k79_27673	9.22515
k79_9352	6.49618
k79_27674	6.22656
k79_4722	3.34434
k79_32306	4.56169
k79_9353	7.85246
k79_13871	8.25945
k79_4723	5.9292
k79_13872	3.63587
k79_27675	4.00524
k79_4724	3.04196
k79_27676	6.37113
k79_18482	10.5839
k79_4725	5.69524
k79_13873	5.31633
k79_9354	5.75075
k79_13874	3.52066
k79_18483	4.22709
k79_27677	7.05648
k79_9355	6.79245
k79_13875	3.66038
k79_18484	7.20213
k79_13876	6.365
k79_32307	8.93553
k79_18485	4.14815
k79_27678	3.86
k79_18486	6.81132
k79_27679	8.5914
k79_32308	3.77652
k79_18487	3.67797
k79_9356	7.68098
k79_27680	8.28497
k79_18488	6.59223
k79_9357	2.8913
k79_27681	7.17123
k79_13877	4.52857
k79_9358	5.22901
k79_143	46.6835
k79_18489	3.96104
k79_9359	8.49359
k79_144	7.56173
k79_27682	5.09417
k79_18490	6.94309
k79_145	4.44792
k79_146	2.21186
k79_4726	7.67551
k79_18491	8.07339
k79_9360	9.26923
k79_147	5.85235
k79_9361	6.19565
k79_18492	7.94268
k79_27683	10.4402
k79_148	8.43871
k79_9362	3.77876
k79_18493	6.03252
k79_4727	4.37844
k79_9363	4.57143
k79_149	9.28846
k79_18494	4.57485
k79_9364	4.064
k79_4728	2.78571
k79_27684	9.27087
k79_18495	7.85185
k79_150	4.52217
k79_9365	10.8509
k79_4729	2.87838
k79_27685	5.66917
k79_151	5.22857
k79_18496	3.17969
k79_9366	4.36522
k79_4730	3.38144
k79_152	4.77778
k79_9367	3.26857
k79_18497	4.81624
k79_4731	5.9645
k79_18498	3.31579
k79_27686	5.41577
k79_153	5.03604
k79_9368	2.96266
k79_27687	4.31111
k79_9369	6.16129
k79_23065	43.2481
k79_4732	6.02994
k79_18499	7.58601
k79_27688	4.51685
k79_9370	2.424
k79_154	4.76285
k79_4733	8.94118
k79_18500	5.89947
k79_9371	3.37895
k79_155	8.30909
k79_27689	2.52792
k79_23066	4.67576
k79_9372	13.8655
k79_18501	3.27168
k79_32309	36.4398
k79_4734	4.83621
k79_27690	5.73869
k79_156	6.44235
k79_18502	4.26271
k79_4735	3.65591
k79_9373	6.31799
k79_23067	6.50571
k79_27691	15.0125
k79_32310	6.74206
k79_157	9.58559
k79_18503	6.30337
k79_4736	7.69159
k79_23068	3.41667
k79_9374	4.305
k79_32311	4.10674
k79_18504	3.87349
k79_23069	6.98611
k79_9375	5.2381
k79_158	5.52747
k79_32312	6.63866
k79_4737	4.13681
k79_23070	8.37778
k79_9376	5.79104
k79_32313	5.8773
k79_27692	8.25711
k79_18505	4.5641
k79_4738	8.32727
k79_159	5.32905
k79_23071	3.17355
k79_32314	5.11168
k79_18506	2.26724
k79_9377	4.23194
k79_160	5.98726
k79_4739	4.10837
k79_32315	6.88775
k79_27693	3.62587
k79_23072	2.75667
k79_161	10.8051
k79_32316	3.88679
k79_4740	3.648
k79_9378	1.76364
k79_32317	6.32773
k79_9379	3.57576
k79_27694	8.5
k79_162	5.12857
k79_32318	5.09091
k79_9380	3.71779
k79_27695	5.32746
k79_9381	3.04167
k79_32319	14.7639
k79_163	5.00969
k79_4741	29.6379
k79_23073	9.7551
k79_164	13.115
k79_9382	4.49219
k79_18507	10.3366
k79_4742	4.21429
k79_165	3.65217
k79_27696	4.86076
k79_32320	9.71588
k79_23074	4.68396
k79_18508	4.88889
k79_166	6.98387
k79_9383	8.33728
k79_23075	5.94643
k79_27697	7.53182
k79_32321	8.39933
k79_4743	7.87864
k79_167	6.36131
k79_23076	4.55102
k79_27698	6.22603
k79_18509	3.58757
k79_4744	4.32353
k79_27699	5.9375
k79_23077	5.21019
k79_32322	4.06933
k79_168	5.64452
k79_18510	3.38776
k79_4745	2.27108
k79_27700	3.92308
k79_169	9.00429
k79_23078	3.78694
k79_4746	18.8519
k79_18511	6.44867
k79_170	1.94545
k79_27701	4.29245
k79_32323	6.64777
k79_23079	4.37903
k79_18512	5.52252
k79_171	5.87565
k79_23080	3.42222
k79_18513	5.20492
k79_172	4.29012
k79_23081	4.22936
k79_18514	3.56842
k79_4747	6.67764
k79_9384	6.07771
k79_4748	2.7931
k79_32324	4.53485
k79_4749	6.16393
k79_9385	2.75
k79_23082	3.71348
k79_32325	3.904
k79_23083	6.24862
k79_4750	5.0916
k79_9386	7.51449
k79_18515	6.25063
k79_32326	3.09346
k79_9387	5.43478
k79_18516	3.4127
k79_27702	7.868
k79_9388	1.80531
k79_32327	2.6993
k79_27703	7.6087
k79_9389	8.16053
k79_32328	8.08081
k79_32329	5.248
k79_27704	5.57939
k79_32330	3.58052
k79_9390	4.99346
k79_32331	3.84249
