Contig	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Mean	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz RPKM	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Covered Fraction
k79_36218	4.026275	5.032246	1
k79_12102	3.5837564	4.623286	1
k79_24155	2.2108843	3.038409	1
k79_84452	2.4070797	3.8124526	1
k79_12103	3.2424242	5.6375303	1
k79_36219	5.165109	6.5993476	1
k79_84453	2.7980769	3.9210753	1
k79_48299	6.266226	8.125316	1
k79_84454	4.3774834	5.5457687	1
k79_75	4.834239	5.997943	1
k79_12104	5.001848	6.239512	1
k79_60311	6.0353904	7.803551	1
k79_48300	7.844262	9.5843935	1
k79_36220	4.33125	5.7295713	1
k79_60312	2.8828125	4.3280935	1
k79_84455	3.2025316	4.5184927	1
k79_24156	6.975402	8.888668	1
k79_60313	3.862069	5.4382377	1
k79_76	4.6923075	5.6348677	1
k79_12105	6.6578946	8.718913	1
k79_84456	36.125	38.16634	0.9387097
k79_77	3.7954545	4.6342125	1
k79_60314	3.9431818	4.2129207	1
k79_24157	2.1924882	3.3146284	1
k79_36221	6.7352943	8.811386	1
k79_84457	4.6875	6.1138725	1
k79_36222	7.217647	7.833399	1
k79_84458	4.009967	5.1134205	1
k79_36223	3.9648712	5.734536	1
k79_84459	4.9868994	5.8202777	1
k79_12106	7.464789	9.306265	1
k79_24158	7.720978	9.831884	1
k79_12107	6.324324	6.1466665	1
k79_36224	5.356771	6.759607	1
k79_48301	14.527371	18.495459	1
k79_12108	2.226804	2.841589	1
k79_36225	3.8521738	4.1620474	1
k79_48302	1.4204545	2.9490442	1
k79_24159	6.834188	8.594357	1
k79_36226	2.1243782	2.856624	1
k79_12109	7.288503	8.861612	1
k79_36227	3.662531	4.7142043	1
k79_24160	4.1544886	5.4198647	1
k79_36228	3.9758065	5.489097	1
k79_48303	8.609332	11.373868	0.98551893
k79_12110	6.2978725	8.241164	1
k79_84460	21.767641	27.754978	1
k79_48304	3.4774776	4.994167	1
k79_12111	2.5268817	4.951482	1
k79_84461	4.5454545	5.8980885	1
k79_24161	7.39267	9.4343605	1
k79_36229	4.1933537	5.803661	1
k79_84462	9.152174	10.358213	1
k79_12112	5.9396987	7.182486	1
k79_36230	3.9569893	4.5388584	1
k79_12113	5.241071	6.1232066	1
k79_60315	7.8379364	10.24504	1
k79_12114	6.5309734	7.24366	1
k79_48305	5.6621065	7.056283	1
k79_84463	5.3767314	6.0827646	1
k79_24162	5.8674035	7.5236797	1
k79_12115	4.125	5.2587857	1
k79_48306	2.652174	3.7836792	1
k79_84464	4.5531917	4.109324	1
k79_24163	4.894737	5.3172164	1
k79_12116	2.9	3.4575002	1
k79_60316	7.5847588	9.483055	1
k79_12117	9.9453125	10.820234	1
k79_12118	14.045113	13.109179	1
k79_12119	3.9541285	4.645599	1
k79_60317	6.224852	8.088551	1
k79_36231	8.222066	10.581313	1
k79_78	8.314108	11.101491	1
k79_60318	5.046729	5.071897	0.922179
k79_12120	2.7137256	4.456333	1
k79_36232	3.0652175	3.7289565	1
k79_84465	6.733937	8.548703	1
k79_79	6.5945945	6.5308332	1
k79_24164	6.129032	8.494423	1
k79_60319	4.591398	4.951482	1
